start,end,Date and Time,"Name of the Bus Stop (as displayed on the shelter, if no info is available write the commonly known name)",Survey Location,_Survey Location_latitude,_Survey Location_longitude,_Survey Location_altitude,_Survey Location_precision,"If Location field is not working, please enter coordinates from google maps or paste the location URL",Type of Bus Stop,Condition of Bus Shelter,How is the bus stop positioned relative to the road?,"How is the bus stop positioned relative to the road?/Set back from the road – against a wall, compound, or building edge",How is the bus stop positioned relative to the road?/On the road edge / footpath edge – directly adjacent to traffic,How is the bus stop positioned relative to the road?/The road/footpath is too narrow ,Relationship between Bus Stop and Pedestrians,Is there space behind the bus shelter for pedestrians to walk/wheelchair to move freely?,Is there space between the bus shelter and the road for pedestrians to walk/wheelchair to move freely? ,"Can pedestrians/wheelchair users move past the bus stop on the footpath, without having to step down on the road? ",Is the space behind the bus shelter usable?,How many bus shelters are placed close to each other?,Where do buses typically stop? ,Where do buses typically stop? /At the bus stop – buses pull up to the shelter/marked stop,Where do buses typically stop? /Away from the bus stop – buses stop before or beyond the shelter/marked location,Where do buses typically stop? /Bus stop not clearly marked,Where do buses typically stop? /Unsure / not observed,How far away from the kerb/Bus stop platform does the bus stop?,Tick all access features present at this bus stop,Tick all access features present at this bus stop/Footpath available to reach the bus stop from both directions,"Tick all access features present at this bus stop/Footpath is walkable and free of encroachment like parking, vendors, utility boxes, garbage, etc",Tick all access features present at this bus stop/Ramp for wheelchair users to access the bus stop,"Tick all access features present at this bus stop/Ramp is in usable condition (not too steep, not broken, nor blocked)",Tick all access features present at this bus stop/Tactile paving for visually impaired users,Tick all access features present at this bus stop/Pedestrian crossing at/close to the bus stop to cross the road?,Tick all access features present at this bus stop/None of the above,Check this box if the bus stop's kerb is higher than 15cms or has steps to access ,Is the bus stop area free of encroachments?,Is there evidence of water-logging or poor drainage around the stop?," How safe does this bus stop feel, particularly at night?", Is the bus stop big enough for the number of people who typically wait here?,Does the bus stop have a roof that shelters people from rain?,Is there adequate shade during the day for people waiting?,Is there adequate lighting at the bus stop during the night?,"If seated at the bus stop, can you clearly see an approaching bus?",Is the seating provided comfortable?,Is the name of the bus stop clearly displayed?,Is bus route information displayed at the stop?,Tick all amenities present at this bus stop,Tick all amenities present at this bus stop/Seating / bench,Tick all amenities present at this bus stop/Sufficient seating for the number of people typically waiting,Tick all amenities present at this bus stop/Dustbin / waste bin,Tick all amenities present at this bus stop/Drinking water (tap or dispenser),Tick all amenities present at this bus stop/Public toilet nearby (within eyesight),Tick all amenities present at this bus stop/CCTV camera,Tick all amenities present at this bus stop/Digital information boards with real time arrival information and service alerts,Tick all amenities present at this bus stop/None of the Above,What is the primary land use or activity near this bus stop?,Does the bus shelter carry advertisements?,Any other observations about this bus stop?,Top 1–2 improvements you would recommend for this stop,Photo of Bus Stop Front,Photo of Bus Stop Front_URL,Photo of Bus Stop from Side ,Photo of Bus Stop from Side _URL,Photo of any other key observation 1 ,Photo of any other key observation 1 _URL,Photo of any other key observation 2 ,Photo of any other key observation 2 _URL,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,__version__,_tags,meta/rootUuid,_index,city,source_form,latitude,longitude,coordinate_source,location_flag
2026-06-07T20:45:06.481000+05:30,2026-06-12T12:17:56.260000+05:30,2026-06-07T20:45:00+05:30,Hennur Road Service Road,13.029357 77.6317 0 0,13.029357,77.6317,0,0,,Other Metal Bus Shelter (Other than Stainless Steel),Satisfactory – minor wear/dusty but usable,On the road edge / footpath edge – directly adjacent to traffic The road/footpath is too narrow ,0,1,1,,No,No,No,,2,Away from the bus stop – buses stop before or beyond the shelter/marked location,0,1,0,0,One Step Out (30 cm to 1 meter): Passengers have to step down onto the road surface first to board.,"Footpath available to reach the bus stop from both directions Footpath is walkable and free of encroachment like parking, vendors, utility boxes, garbage, etc",1,1,0,0,0,0,0,," Yes – fully accessible, no obstructions","Yes – signs of standing water, algae, or drainage issues visible",Unable to assess (audit done only in daytime), No – overcrowded or high number of people standing on the road,"Yes – but the roof is inadequate (too tall, too small, gaps, or partial coverage)",Partial – some shade but insufficient,No – inadequate or no lighting at all,"No – sightline is blocked (by structure, advertisement boards, trees, or parked vehicles)",No - the seating is too small to sit comfortably ,Yes – name is prominently visible and legible,Yes – but information seems outdated or unreliable,Seating / bench Dustbin / waste bin Digital information boards with real time arrival information and service alerts,1,0,1,0,0,0,1,0,"Mostly Institutional - Schools, Hospitals, Govt. Offices, etc",Yes – advertisements present but passenger information is still clearly visible,Steep footpath height . Tough to climb for old people,Levelling of the land ; reconstruction of pavement with anti slip tiles,IMG_5592-20_55_8.jpeg,https://kf.kobotoolbox.org/api/v2/assets/am66CJhKEj8dCTL49UQSNG/data/773277606/attachments/attXFhRqQHHheKyDjT79fLXP/,IMG_5592-20_53_2.jpeg,https://kf.kobotoolbox.org/api/v2/assets/am66CJhKEj8dCTL49UQSNG/data/773277606/attachments/attU2zDDNu8k7Nxk8Awa4NXG/,,,,,773277606,3b89129a-c0c0-440c-aedb-ee11de3376e6,2026-06-07T20:55:24+05:30,,,submitted_via_web,,v9nnSVBz8Dj2TFQddrtot2,,uuid:3550fa8f-0d3d-4369-87b1-f5621cbcd2cb,1,Bengaluru,Bengaluru,13.029357,77.6317,device_gps,OK
2026-06-07T23:55:36.797000+05:30,2026-06-08T00:04:19.775000+05:30,2026-06-07T23:56:00+05:30,Trinity Circle,12.970938 77.619785 797 19.38800048828125,12.970938,77.619785,797,19.38800048828125,,Stainless Steel Bus Shelter, Clean and Well Maintained,"Set back from the road – against a wall, compound, or building edge",1,0,0,,No,Yes,Yes,,3,At the bus stop – buses pull up to the shelter/marked stop Away from the bus stop – buses stop before or beyond the shelter/marked location,1,1,0,0,Perfect / Flush (Less than 30 cm): Passengers can step directly from the footpath onto the bus.,"Footpath available to reach the bus stop from both directions Footpath is walkable and free of encroachment like parking, vendors, utility boxes, garbage, etc",1,1,0,0,0,0,0,," Yes – fully accessible, no obstructions",No – area appears well-drained,"Safe – well-lit, visible, and active surroundings",Yes – adequate space for passengers,Yes – roof is intact and effective,Partial – some shade but insufficient,Partially – some light but insufficient,Yes – clear sightline to see the approaching buses,"Yes - the seating is of the right height, width, and depth to sit comfortably while waiting for the bus","Yes – but faded, small, or difficult to read",Yes – but information seems outdated or unreliable,Seating / bench Sufficient seating for the number of people typically waiting Digital information boards with real time arrival information and service alerts,1,1,0,0,0,0,1,0,"Mostly Institutional - Schools, Hospitals, Govt. Offices, etc",Yes – advertisements present but passenger information is still clearly visible,The signals nearby are quite busy and don't have period where pedestrian can cross the entire road,"Zebra crossing, water dispenser, larger shade",118967-0_2_20.png,https://kf.kobotoolbox.org/api/v2/assets/am66CJhKEj8dCTL49UQSNG/data/773386595/attachments/attverQLQWkCkVVbtG5Jt2hK/,,,,,,,773386595,f84f563d-6c45-4c34-b1c6-aa55441596b0,2026-06-08T00:04:22+05:30,,,submitted_via_web,,v9nnSVBz8Dj2TFQddrtot2,,uuid:f84f563d-6c45-4c34-b1c6-aa55441596b0,2,Bengaluru,Bengaluru,12.970938,77.619785,device_gps,OK
2026-06-08T08:02:18.470000+05:30,2026-06-08T08:11:26.820000+05:30,2026-06-08T08:02:00+05:30,CMRIT College (towards Kundanahalli Gate,12.967679 77.714077 0 0,12.967679,77.714077,0,0,,No Shelter and No Signboard,,"Set back from the road – against a wall, compound, or building edge",1,0,0,,Yes,Yes,Yes,Yes - It's free of obstructions and feels safe to use,,At the bus stop – buses pull up to the shelter/marked stop,1,0,0,0,One Step Out (30 cm to 1 meter): Passengers have to step down onto the road surface first to board.,Footpath available to reach the bus stop from both directions Pedestrian crossing at/close to the bus stop to cross the road?,1,0,0,0,0,1,0,," Yes – fully accessible, no obstructions","Yes – signs of standing water, algae, or drainage issues visible","Safe – well-lit, visible, and active surroundings",,,Yes - sufficient shade from surrounding trees,"Yes – lit by nearby street lights, shop fronts, or advertisement boards",,,,,None of the Above,0,0,0,0,0,0,0,1,"Mostly commercial - Retail shops. restaurants, cafes, markets, etc",,Frequented by students of CMRIT college. Also has IT employees waiting for buses,An actual shelter with seating,1000329887-8_6_42.jpg,https://kf.kobotoolbox.org/api/v2/assets/am66CJhKEj8dCTL49UQSNG/data/773502397/attachments/attPWMWU6TG5Gi47EL9YuH4g/,,,,,,,773502397,e38b5173-e688-4a00-8961-d3ff05d21404,2026-06-08T08:11:29+05:30,,,submitted_via_web,,v9nnSVBz8Dj2TFQddrtot2,,uuid:e38b5173-e688-4a00-8961-d3ff05d21404,4,Bengaluru,Bengaluru,12.967679,77.714077,device_gps,OK
2026-06-08T08:11:26.991000+05:30,2026-06-08T08:16:43.643000+05:30,2026-06-08T08:11:00+05:30,Brookefield,12.967451 77.716028 828.3999633789062 1.715999960899353,12.967451,77.716028,828.3999633789062,1.715999960899353,,Stainless Steel Bus Shelter,Satisfactory – minor wear/dusty but usable,"Set back from the road – against a wall, compound, or building edge On the road edge / footpath edge – directly adjacent to traffic",1,1,0,,Yes,Yes,Yes,Yes - It's free of obstructions and feels safe to use,2,At the bus stop – buses pull up to the shelter/marked stop,1,0,0,0,One Step Out (30 cm to 1 meter): Passengers have to step down onto the road surface first to board.,"Footpath available to reach the bus stop from both directions Footpath is walkable and free of encroachment like parking, vendors, utility boxes, garbage, etc Ramp is in usable condition (not too steep, not broken, nor blocked) Tactile paving for visually impaired users Pedestrian crossing at/close to the bus stop to cross the road?",1,1,0,1,1,1,0,," Yes – fully accessible, no obstructions",No – area appears well-drained,"Somewhat safe – some concerns (e.g., poor visibility, isolated location)",Yes – adequate space for passengers,Yes – roof is intact and effective,Yes – sufficient shade from the bus shelter,Partially – some light but insufficient,Yes – clear sightline to see the approaching buses,No - the seating is too high ,No – name is missing,No information displayed at all,Seating / bench Sufficient seating for the number of people typically waiting,1,1,0,0,0,0,0,0,"Mostly Residential - Housing, Apartments, etc",Yes – advertisements dominate; passenger information is secondary,"Is weirdly located between two well established stops, not sure what the motivation for this is. Not many passengers alight/get off here too.","Remove it. Otherwise, add more info about buses, lower seating.",1000329889-8_16_34.jpg,https://kf.kobotoolbox.org/api/v2/assets/am66CJhKEj8dCTL49UQSNG/data/773503719/attachments/att8PYegsHuFKF9NBBwMiEid/,1000329890-8_16_41.jpg,https://kf.kobotoolbox.org/api/v2/assets/am66CJhKEj8dCTL49UQSNG/data/773503719/attachments/att7y4v6pAdMPHvwWzZwCSsH/,,,,,773503719,ec1935cb-596f-4183-b38a-46b7de6cc504,2026-06-08T08:16:48+05:30,,,submitted_via_web,,v9nnSVBz8Dj2TFQddrtot2,,uuid:ec1935cb-596f-4183-b38a-46b7de6cc504,5,Bengaluru,Bengaluru,12.967451,77.716028,device_gps,OK
2026-06-08T08:59:43.390000+05:30,2026-06-08T09:06:53.256000+05:30,2026-06-08T08:59:00+05:30,"Malleshwaram 18th cross, Sampigr Roaf",13.009003 77.571097 855 24.937999725341797,13.009003,77.571097,855,24.937999725341797,,Other Metal Bus Shelter (Other than Stainless Steel),Unclean/Poorly Maintained,"Set back from the road – against a wall, compound, or building edge On the road edge / footpath edge – directly adjacent to traffic",1,1,0,,Yes,Yes,No,Yes - It's free of obstructions and feels safe to use,2,Away from the bus stop – buses stop before or beyond the shelter/marked location,0,1,0,0,One Step Out (30 cm to 1 meter): Passengers have to step down onto the road surface first to board.,"Footpath is walkable and free of encroachment like parking, vendors, utility boxes, garbage, etc Pedestrian crossing at/close to the bus stop to cross the road?",0,1,0,0,0,1,0,," Yes – fully accessible, no obstructions",No – area appears well-drained,"Unsafe – poorly lit, isolated, or has a history of feeling threatening",Yes – adequate space for passengers,"Yes – but the roof is inadequate (too tall, too small, gaps, or partial coverage)",Yes – sufficient shade from the bus shelter,No – inadequate or no lighting at all,Yes – clear sightline to see the approaching buses,No - the seating is too small to sit comfortably ,Yes – name is prominently visible and legible,Yes – but information seems outdated or unreliable,Seating / bench,1,0,0,0,0,0,0,0,"Mostly Institutional - Schools, Hospitals, Govt. Offices, etc",Yes – advertisements dominate; passenger information is secondary,Total of 3 bus stops nearby almost next to each other with buses stopping wherever they feel like.,"Lighting to be improved, cleanliness",1000280981-9_6_8.jpg,https://kf.kobotoolbox.org/api/v2/assets/am66CJhKEj8dCTL49UQSNG/data/773513761/attachments/attnFakqhc4kmwxYEvkWU69q/,1000280982-9_6_13.jpg,https://kf.kobotoolbox.org/api/v2/assets/am66CJhKEj8dCTL49UQSNG/data/773513761/attachments/attgARR6JnH8CRUCapuhVFQm/,1000280983-9_6_48.jpg,https://kf.kobotoolbox.org/api/v2/assets/am66CJhKEj8dCTL49UQSNG/data/773513761/attachments/attufcu2TrAwrhdkYvC6ENYb/,,,773513761,42c5f8dd-0039-43f3-a735-4fbff5412ecd,2026-06-08T09:06:58+05:30,,,submitted_via_web,,v9nnSVBz8Dj2TFQddrtot2,,uuid:42c5f8dd-0039-43f3-a735-4fbff5412ecd,6,Bengaluru,Bengaluru,13.009003,77.571097,device_gps,OK
2026-06-08T10:26:53.559000+05:30,2026-06-08T10:35:32.706000+05:30,2026-06-08T10:28:00+05:30,Central Silk Board (Towards Bommanahalli),12.91592 77.6240777 920 0,12.91592,77.6240777,920,0,,Stainless Steel Bus Shelter, Clean and Well Maintained,"Set back from the road – against a wall, compound, or building edge",1,0,0,,Yes,Yes,Yes,No - It's obstructed due to encroachment ,4+,At the bus stop – buses pull up to the shelter/marked stop,1,0,0,0,"Way Out in the Road (More than 1 meter): The bus stops far from the footpath, blocking a lane of traffic, forcing people to walk across active traffic to board the bus",Pedestrian crossing at/close to the bus stop to cross the road?,0,0,0,0,0,1,0,,"Partially encroached – e.g., vendors, parked two-wheelers, auto-rickshaws, construction material",No – area appears well-drained,Unable to assess (audit done only in daytime),Yes – adequate space for passengers,Yes – roof is intact and effective,Yes – sufficient shade from the bus shelter,Unsure / Not observed,Yes – clear sightline to see the approaching buses,"Yes - the seating is of the right height, width, and depth to sit comfortably while waiting for the bus",Yes – name is prominently visible and legible,No information displayed at all,Seating / bench Sufficient seating for the number of people typically waiting,1,1,0,0,0,0,0,0,"Mixed Use - A mix of commercial/residential/office, etc",Yes – advertisements dominate; passenger information is secondary,"Relatively New Bus stop, under the flyover(ragiguda to Bommanahalli)",Needs to have good connection to new blue line metro that will come up here,1000166958-10_34_45.jpg,https://kf.kobotoolbox.org/api/v2/assets/am66CJhKEj8dCTL49UQSNG/data/773541360/attachments/attcapCZbCdRRSCjFJVhRN6t/,1000166957-10_34_37.jpg,https://kf.kobotoolbox.org/api/v2/assets/am66CJhKEj8dCTL49UQSNG/data/773541360/attachments/attrUfkSu6LdAz2tsbADKT6P/,,,,,773541360,b3d5eb1c-9174-42d9-97a8-0c77adeab6ae,2026-06-08T10:35:37+05:30,,,submitted_via_web,,v9nnSVBz8Dj2TFQddrtot2,,uuid:b3d5eb1c-9174-42d9-97a8-0c77adeab6ae,7,Bengaluru,Bengaluru,12.91592,77.6240777,device_gps,OK
2026-06-08T13:56:00.422000+05:30,2026-06-08T14:24:04.320000+05:30,2026-06-08T13:56:00+05:30,"43A bus stop, Vivekananda Nagar",12.930355 77.553164 0 0,12.930355,77.553164,0,0,,Stainless Steel Bus Shelter,Unclean/Poorly Maintained,On the road edge / footpath edge – directly adjacent to traffic,0,1,0,,Yes,No,Yes,Yes - It's free of obstructions and feels safe to use,1 - this is a standalone shelter ,Unsure / not observed,0,0,0,1,"Way Out in the Road (More than 1 meter): The bus stops far from the footpath, blocking a lane of traffic, forcing people to walk across active traffic to board the bus",None of the above,0,0,0,0,0,0,1,,"Partially encroached – e.g., vendors, parked two-wheelers, auto-rickshaws, construction material",No – area appears well-drained,Unable to assess (audit done only in daytime),Yes – adequate space for passengers,Yes – roof is intact and effective,Yes – sufficient shade from the bus shelter,Unsure / Not observed,"No – sightline is blocked (by structure, advertisement boards, trees, or parked vehicles)","Yes - the seating is of the right height, width, and depth to sit comfortably while waiting for the bus",No – name is missing,No information displayed at all,Seating / bench Sufficient seating for the number of people typically waiting,1,1,0,0,0,0,0,0,"Mostly commercial - Retail shops. restaurants, cafes, markets, etc",Yes – advertisements dominate; passenger information is secondary,"Only one bus comes here, 43A bus, a few times a day. So the neglect is apparent.","More buses, and clearing encroachments. In the image a bunch of men were using the bus stop to sit so the lone woman was standing outside the stand waiting for the bus",1000417665-14_23_41.jpg,https://kf.kobotoolbox.org/api/v2/assets/am66CJhKEj8dCTL49UQSNG/data/773711406/attachments/attgCySa2ZbYjFVQYhwvkLKh/,1000417666-14_23_46.jpg,https://kf.kobotoolbox.org/api/v2/assets/am66CJhKEj8dCTL49UQSNG/data/773711406/attachments/attNMo2fgHZckxq5vQLugwBn/,1000417667-14_23_52.jpg,https://kf.kobotoolbox.org/api/v2/assets/am66CJhKEj8dCTL49UQSNG/data/773711406/attachments/attP4uyeSkZ5x45TkzxJoxGV/,1000417668-14_23_56.jpg,https://kf.kobotoolbox.org/api/v2/assets/am66CJhKEj8dCTL49UQSNG/data/773711406/attachments/attVtCkDFzQDpJ5W6RXMYfJu/,773711406,44293505-e676-4ad2-b399-9cbf031baa07,2026-06-08T14:24:07+05:30,,,submitted_via_web,,v9nnSVBz8Dj2TFQddrtot2,,uuid:44293505-e676-4ad2-b399-9cbf031baa07,8,Bengaluru,Bengaluru,12.930355,77.553164,device_gps,OK
2026-06-08T17:19:38.112000+05:30,2026-06-08T17:24:42.657000+05:30,2026-06-08T17:19:00+05:30,Kadubisinahalli (towards Marathahahlli),,,,,,,3D Printed Bus Shelter,Unclean/Poorly Maintained,On the road edge / footpath edge – directly adjacent to traffic,0,1,0,,No,No,No,,3,Away from the bus stop – buses stop before or beyond the shelter/marked location,0,1,0,0,One Step Out (30 cm to 1 meter): Passengers have to step down onto the road surface first to board.,Pedestrian crossing at/close to the bus stop to cross the road?,0,0,0,0,0,1,0,," Yes – fully accessible, no obstructions","Yes – signs of standing water, algae, or drainage issues visible","Somewhat safe – some concerns (e.g., poor visibility, isolated location)", No – overcrowded or high number of people standing on the road,"Yes – but the roof is inadequate (too tall, too small, gaps, or partial coverage)",Yes – sufficient shade from the bus shelter,Unsure / Not observed,Yes – clear sightline to see the approaching buses,"Yes - the seating is of the right height, width, and depth to sit comfortably while waiting for the bus",Yes – name is prominently visible and legible,Yes – but information seems outdated or unreliable,Seating / bench,1,0,0,0,0,0,0,0,"Mixed Use - A mix of commercial/residential/office, etc",No advertisements,"Serves Prestige Tech Park, hence a lot of ridership from there","Add digital boards, provide proper stopping bays due to high number of buses stopping throughout the day",1000329904-17_24_40.jpg,https://kf.kobotoolbox.org/api/v2/assets/am66CJhKEj8dCTL49UQSNG/data/773910562/attachments/attQGi9dRxwVFeUV9aCaYJKm/,,,,,,,773910562,02bc2c08-0a30-4269-81d2-86d04b8088f2,2026-06-08T17:24:45+05:30,,,submitted_via_web,,vqT8ctFZqEKawERiL3APeV,,uuid:02bc2c08-0a30-4269-81d2-86d04b8088f2,9,Bengaluru,Bengaluru,,,,NO_LOCATION
2026-06-08T17:45:04.108000+05:30,2026-06-08T17:51:03.346000+05:30,2026-06-08T17:46:00+05:30,Electronic City Sbi(towards wipro gate),12.8453744 77.66532 857.7999877929688 34.93600082397461,12.8453744,77.66532,857.7999877929688,34.93600082397461,,"Only ""Bus Stop"" Signboard - No Bus Shelter",,On the road edge / footpath edge – directly adjacent to traffic,0,1,0,,No,No,No,,,At the bus stop – buses pull up to the shelter/marked stop Away from the bus stop – buses stop before or beyond the shelter/marked location,1,1,0,0,One Step Out (30 cm to 1 meter): Passengers have to step down onto the road surface first to board.,"Footpath available to reach the bus stop from both directions Footpath is walkable and free of encroachment like parking, vendors, utility boxes, garbage, etc Pedestrian crossing at/close to the bus stop to cross the road?",1,1,0,0,0,1,0,," Yes – fully accessible, no obstructions",No – area appears well-drained,"Safe – well-lit, visible, and active surroundings",,,Partial – some shade but insufficient,Partially – some light but insufficient,,,No – name is missing,No information displayed at all,None of the Above,0,0,0,0,0,0,0,1,"Mostly commercial - Office buildings, malls, large stores, etc",,Footpath is inclined to allow cars to approach  commerical property behind,"Bus shelter and signage, just opposite this bus stop is one that has bus shelter, vending machine, seating area etc",1000167015-17_50_44.jpg,https://kf.kobotoolbox.org/api/v2/assets/am66CJhKEj8dCTL49UQSNG/data/773937994/attachments/attxgAWnjCepovrchAPnvPXY/,1000167016-17_50_52.jpg,https://kf.kobotoolbox.org/api/v2/assets/am66CJhKEj8dCTL49UQSNG/data/773937994/attachments/attxLMh2wYwGmKrmKpZPyyiD/,1000167014-17_51_1.jpg,https://kf.kobotoolbox.org/api/v2/assets/am66CJhKEj8dCTL49UQSNG/data/773937994/attachments/attSjvZxsZp6s37quYXnZgBG/,,,773937994,ede17950-2230-4d5c-8e40-30dc46c5af38,2026-06-08T17:51:17+05:30,,,submitted_via_web,,v9nnSVBz8Dj2TFQddrtot2,,uuid:ede17950-2230-4d5c-8e40-30dc46c5af38,10,Bengaluru,Bengaluru,12.8453744,77.66532,device_gps,OK
2026-06-08T17:51:03.451000+05:30,2026-06-08T18:00:16+05:30,2026-06-08T17:51:00+05:30,Electronic City Sbi (towards toll gate/infosys konappana Agrahara metro station),12.8455617 77.6653881 858.0999755859375 8.520000457763672,12.8455617,77.6653881,858.0999755859375,8.520000457763672,,Stainless Steel Bus Shelter, Clean and Well Maintained,"Set back from the road – against a wall, compound, or building edge",1,0,0,,No,Yes,No,,2,At the bus stop – buses pull up to the shelter/marked stop,1,0,0,0,Perfect / Flush (Less than 30 cm): Passengers can step directly from the footpath onto the bus.,"Footpath available to reach the bus stop from both directions Footpath is walkable and free of encroachment like parking, vendors, utility boxes, garbage, etc Ramp for wheelchair users to access the bus stop Ramp is in usable condition (not too steep, not broken, nor blocked) Pedestrian crossing at/close to the bus stop to cross the road?",1,1,1,1,0,1,0,," Yes – fully accessible, no obstructions",No – area appears well-drained,"Safe – well-lit, visible, and active surroundings", No – overcrowded or high number of people standing on the road,Yes – roof is intact and effective,Yes – sufficient shade from the bus shelter,"Yes – lit by nearby street lights, shop fronts, or advertisement boards",Yes – clear sightline to see the approaching buses,"Yes - the seating is of the right height, width, and depth to sit comfortably while waiting for the bus",No – name is missing,No information displayed at all,Seating / bench Digital information boards with real time arrival information and service alerts,1,0,0,0,0,0,1,0,"Mostly commercial - Office buildings, malls, large stores, etc",Yes – advertisements dominate; passenger information is secondary,"2 bus shelters present in different styles, both are 20m apart and obstacles present between them. Bus shelter has a working vending machine. Well maintained as it comes under ELCITA",Guardrails next to footpath restrict movement into buses at times. One bus shelter has tiles which becomes slippery during rains.,1000167019-17_59_54.jpg,https://kf.kobotoolbox.org/api/v2/assets/am66CJhKEj8dCTL49UQSNG/data/773947807/attachments/attKHwX5zT5yvoYihF2TC8z7/,1000167017-18_0_0.jpg,https://kf.kobotoolbox.org/api/v2/assets/am66CJhKEj8dCTL49UQSNG/data/773947807/attachments/attrBEmmHDFiUWNJ9iNM6iC8/,1000167022-18_0_4.jpg,https://kf.kobotoolbox.org/api/v2/assets/am66CJhKEj8dCTL49UQSNG/data/773947807/attachments/atttAc2RttY7gqjhg4osybMC/,1000167021-18_0_14.jpg,https://kf.kobotoolbox.org/api/v2/assets/am66CJhKEj8dCTL49UQSNG/data/773947807/attachments/attVnyb8aBqDW9CryxTN2Jpf/,773947807,dbf16024-f3d3-491b-8486-ea3266220f6a,2026-06-08T18:00:39+05:30,,,submitted_via_web,,v9nnSVBz8Dj2TFQddrtot2,,uuid:dbf16024-f3d3-491b-8486-ea3266220f6a,11,Bengaluru,Bengaluru,12.8455617,77.6653881,device_gps,OK
